,Neighbourhood,Latitude,Longitude
49,High Park North,43.6575649139,-79.4663021661
50,High Park-Swansea,43.6450645834,-79.46787222430001
51,Highland Creek,43.7907747688,-79.17747247289999
52,Hillcrest Village,43.8029878281,-79.3548039999
53,Humber Heights-Westmount,43.6922328007,-79.5224162029
54,Humber Summit,43.7589197465,-79.55617473630001
55,Humbermede,43.7434295175,-79.5423671192
56,Humewood-Cedarvale,43.6913698124,-79.4276833521
57,Ionview,43.735364407700004,-79.27247049420001
58,Islington-City Centre West,43.6334633497,-79.5433165354
59,Junction Area,43.6678897668,-79.47143987359999
60,Keelesdale-Eglinton West,43.6857274725,-79.4714371062
61,Kennedy Park,43.725555723199996,-79.2603822071
62,Kensington-Chinatown,43.653554131599996,-79.3972398768
63,Kingsview Village-The Westway,43.698992572200005,-79.5478633059
64,Kingsway South,43.6535204276,-79.5105768007
65,L'Amoreaux,43.7957160278,-79.3140842409
66,Lambton Baby Point,43.6574201304,-79.4960452553
67,Lansing-Westgate,43.754271154899996,-79.4247477215
68,Lawrence Park North,43.73006017229999,-79.40397836359999
69,Lawrence Park South,43.71721170479999,-79.40603941020001
70,Leaside-Bennington,43.7037966281,-79.3660723439
71,Little Portugal,43.6475359304,-79.4303227131
72,Long Branch,43.592361688500006,-79.5333454492
73,Malvern,43.8036581967,-79.22251661899999
74,Maple Leaf,43.7155739408,-79.48075801739999
75,Markland Wood,43.6335417462,-79.57343154739999
76,Milliken,43.8206907942,-79.2750089244
77,Mimico,43.615923861300004,-79.5001366364
78,Morningside,43.782398614499996,-79.2070411878
79,Moss Park,43.6565176231,-79.3672970317
80,Mount Dennis,43.6881440868,-79.4999890581
81,Mount Olive-Silverstone-Jamestown,43.7468678027,-79.58725926460001
82,Mount Pleasant East,43.7048521692,-79.3849239458
83,Mount Pleasant West,43.70443517060001,-79.393359554
84,New Toronto,43.6005885981,-79.5103580889
85,Newtonbrook East,43.791535791,-79.4059374472
86,Newtonbrook West,43.7858299384,-79.4314215112
87,Niagara,43.6366808791,-79.412420401
88,North Riverdale,43.671995149,-79.3512604136
89,North St.James Town,43.6696234081,-79.3752465775
90,O'Connor-Parkview,43.7068004906,-79.3122277655
91,Oakridge,43.6974081338,-79.2797083433
92,Oakwood Village,43.6885655593,-79.4397854793
93,Old East York,43.696781271199995,-79.3354883594
94,Palmerston-Little Italy,43.6591571037,-79.41840872739999
95,Parkwoods-Donalda,43.755033474499996,-79.3301795171
96,Pelmo Park-Humberlea,43.7175146009,-79.52828220239999
97,Playter Estates-Danforth,43.6797004697,-79.3548872857
98,Pleasant View,43.786981759,-79.33494842520001
99,Princess-Rosethorn,43.666050604300004,-79.5445592919
100,Regent Park,43.659992142200004,-79.3605088051
101,Rexdale-Kipling,43.723725477200006,-79.5662284127
102,Rockcliffe-Smythe,43.6747904521,-79.4944204513
